code;name;main;secondary
10205.2;території закладів побутового обслуговування;"03.13;08.01";"03.07;03.20;04.10;05.01;07.08;11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
10205.3;території закладів торгівлі;"01.12;03.07;08.01";"03.08;03.20;04.10;05.01;07.08;03.13 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
10206.0;території багатофункціональних центрів;"03.10;08.01";"03.01;03.02;03.03;03.04;03.05;03.06;03.08;03.09;03.11;03.20;04.10;05.01;07.08;08.02;15.09;15.10;03.07;03.12;03.13;03.14 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
20000;Виробничі території;;
20100.0;території промислових підприємств;"08.01;11.01;11.02;11.03;11.07;11.08";"03.07;03.08;03.14;04.10;05.01;11.04;12.13;13.01;13.02;13.03;14.02"
20200.0;території рибогосподарських підприємств;"08.01;10.07";"03.07;03.08;03.14;04.10;05.01;11.04;12.13;13.01;13.03;14.02"
20300.0;території лісогосподарських підприємств та лісомисливських господарств;"08.01;09.04";"03.07;03.08;03.14;04.10;05.01;11.04;12.13;13.01;13.03;14.02"
20400.0;території інноваційних комплексів;"01.09;03.11;08.01;10.09;11.02";"02.04;03.02;03.03;03.05;03.07;03.08;03.09;03.10;03.12;03.13;03.14;04.10;05.01;07.02;07.08;08.02;11.04;11.07;11.08;12.13;13.01;13.02;13.03;14.02"
20500.0;території інженерно-комунальної забудови;"03.12;07.09;08.01;10.10;11.04;11.08;13.01;13.03;13.05;14.01;14.02;14.06";"03.14;04.10;05.01;11.07;12.13;14.05"
20501.0;території об’єктів енергозабезпечення;"08.01;10.10;11.04;14.01;14.02;14.05;14.06";"03.14;04.10;05.01;11.04;13.01;13.03"
20501.1;території об’єктів електрозабезпечення;"08.01;10.10;14.01;14.02;14.05;14.06";"03.14;04.10;05.01;11.04;13.01;13.03"
20501.2;території об’єктів теплопостачання;"08.01;11.04";"03.14;04.10;05.01;11.07;13.01;13.03;14.02;14.05"
20501.3;території об’єктів газопостачання;"08.01;11.04";"03.14;04.10;05.01;11.07;13.01;13.03;14.02;14.05"
20502.0;території об’єктів водопостачання та водовідведення;"08.01;11.04";"03.14;04.10;05.01;11.07;13.01;13.03;14.02"
20503.0;території об’єктів електронних комунікацій;"08.01;13.01;13.03;13.05";"03.14;04.10;05.01;11.04;11.07;14.02"
20504.0;території складування та утилізації відходів;"08.01;11.08;14.06";"03.14;04.10;05.01;11.04;11.07;13.01;13.03;14.02;14.05"
20505.0;території житлово-експлуатаційних організацій;"03.12;08.01";"03.14;04.10;05.01;11.04;11.07;13.01;13.03;14.02"
20506.0;території кладовищ та крематоріїв;"07.09;08.01";"04.10;05.01;11.04;11.07;13.01;13.03;14.02"
20507.0;території захоронення трупів тварин;"07.09;08.01";"04.10;05.01;11.04;11.07;13.01;13.03;14.02"
20600.0;території транспортно-складської забудови;"08.01;10.04;10.05;10.10;12.01;12.02;12.03;12.04;12.05;12.06;12.07;12.08;12.09;12.11;13.02";"02.05;02.06;02.09;03.07;03.08;03.14;04.10;05.01;11.02;11.04;11.07;12.13;13.01;13.03;14.02"
20601.0;території зовнішнього транспорту;"08.01;12.01;12.02;12.03;12.04;12.05";"03.07;03.08;03.14;04.10;05.01;11.04;11.07;12.13;13.01;13.03;14.02"
20601.1;території автомобільного транспорту;"08.01;12.04";"03.07;03.08;03.14;04.10;05.01;11.04;11.07;12.13;13.01;13.03;14.02"
20601.2;території залізничного транспорту;"08.01;12.01";"03.07;03.08;03.14;04.10;05.01;11.04;11.07;12.13;13.01;13.03;14.02"
20601.3;території повітряного транспорту;"08.01;12.05";"03.07;03.08;03.14;04.10;05.01;11.04;11.07;12.13;13.01;13.03;14.02"
20601.4;території водного транспорту;"08.01;10.04;10.05;10.10;12.02;12.03";"03.07;03.08;03.14;04.10;05.01;11.04;11.07;12.13;13.01;13.03;14.02"
20601.5;території магістральних трубопроводів;"08.01;12.06";"04.10;05.01;11.04;11.07;12.13;13.01;13.03;14.02"
20602.0;території транспортних підприємств;"08.01;12.04;12.07;12.08;12.09";"04.10;05.01;11.04;11.07;12.13;13.01;13.03;14.02"
20603.0;території логістичних центрів, складів та баз;"08.01;11.02;12.08;13.02";"03.07;03.08;03.14;04.10;05.01;11.04;11.07;12.13;13.01;13.03;14.02"
20604.0;території автостоянок і гаражів;"08.01;02.05;02.06;02.09;12.04";"04.10;05.01;11.04;11.07;12.13;13.01;13.03;14.02"
20605.0;території закладів з обслуговування автотранспортних засобів;"08.01;12.04;12.11";"03.07;03.08;03.14;04.10;05.01;11.04;11.07;12.13;13.01;13.03;14.02"
20606.0;території вулиць та доріг;"08.01;12.13";"04.10;07.08;11.07"
20700.0;території спецпризначення;"08.01;03.18;13.05;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.09;15.10;15.11";"04.10;05.01;11.04;11.07;13.01;13.03;14.02"
30000;Сільськогосподарські території;;
30100.0;території під ріллею та перелогами;"01.01;01.02;01.03;01.04;01.07;01.09;04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;08.01";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
30101.0;меліоровані території;"01.01;01.02;01.03;01.04;01.07;01.09;04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;08.01";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
30102.0;не меліоровані території;"01.01;01.02;01.03;01.04;01.07;01.09;04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;08.01";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
